id,date,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,mood,activity,circumplex.arousal,circumplex.valence,mood_avg,mood_var,mood_count,total_entries,weekday,user_id
AS14.01,2014-03-20,2275.9440002441406,1.0,0.0,248.979,2168.229,350.856,0.0,0.0,0.0,11.345,807.731,0.0,45.173,21.073999999999998,0.0,0.0,0.08154761904761905,0.0,0.0,,,,113,3,1
AS14.01,2014-03-21,17978.907000064843,6.0,0.0,3137.752,6280.89,1007.456,49.544,0.0,172.20600000000002,239.751,4508.5,915.445,0.0,598.754,0.0,6.2,0.13405010398938863,0.2,0.2,6.2,0.20000000000000007,5.0,630,4,1
AS14.01,2014-03-22,6141.351999521255,3.0,1.0,729.1410000000001,4962.918,93.324,21.076,0.0,0.0,98.143,439.632,37.305,0.0,117.62100000000001,0.0,6.4,0.23688021923995814,0.6,0.5,6.4,0.8000000000000002,5.0,378,5,1
AS14.01,2014-03-23,6772.91100144386,0.0,0.0,1284.614,5236.404,94.346,43.403,0.0,0.0,72.82300000000001,900.839,0.0,0.0,30.086,30.386,6.8,0.14274111580506366,0.2,0.8,6.8,0.7,5.0,364,6,1
AS14.01,2014-03-24,15045.769000530237,10.0,0.0,863.486,9270.629,976.9709999999999,34.106,0.0,3.01,66.558,3223.6259999999997,419.805,0.0,178.732,0.0,6.0,0.07896105611559796,0.8,0.0,6.0,0.5,5.0,679,0,1
AS14.01,2014-03-25,21475.35499906539,0.0,1.0,1031.381,10276.751,68.206,43.054,0.0,0.0,178.81900000000002,1919.471,0.0,235.223,222.893,0.0,6.75,0.09837411239050677,0.5,0.5,6.75,0.9166666666666666,4.0,471,1,1
AS14.01,2014-03-26,16423.80100035667,0.0,0.0,1167.497,8988.753,910.479,52.331,0.0,0.0,97.49799999999999,4592.059,0.0,0.0,33.365,0.0,6.6,0.10130832167007592,-0.2,0.6,6.6,0.30000000000000004,5.0,599,2,1
AS14.01,2014-03-27,17441.482999563217,2.0,1.0,1225.477,6935.848,639.3389999999999,42.219,0.0,182.451,58.532,935.381,47.314,0.0,179.029,0.0,7.0,0.15951064096909748,0.2,0.8,7.0,0.0,5.0,538,3,1
AS14.01,2014-03-28,4923.48899960518,5.0,0.0,10060.944,866.833,1005.403,89.166,233.036,0.0,225.951,512.741,1133.009,0.0,301.717,0.0,6.4,0.09569802163712014,-0.6,0.6,6.4,1.3000000000000003,5.0,365,4,1
AS14.01,2014-03-29,8321.915999650955,4.0,1.0,1950.813,2720.012,1627.429,0.0,0.0,0.0,169.594,472.888,52.434999999999995,0.0,600.637,0.0,8.0,0.06820281010186964,0.2,1.0,8.0,0.4999999999999999,5.0,301,5,1
AS14.01,2014-03-30,4523.2140009403265,0.0,0.0,413.38,1298.505,1535.677,0.0,0.0,0.0,74.003,167.685,0.0,66.477,38.296,0.0,7.5,0.049092970521542,-0.5,0.75,7.5,0.3333333333333333,4.0,147,6,1
AS14.01,2014-03-31,11836.217000246044,6.0,0.0,2958.7,5332.637,1758.92,41.254999999999995,51.176,0.0,268.554,1350.655,183.381,29.29,210.305,0.0,7.4,0.07050548088338955,0.0,0.6,7.4,0.29999999999999993,5.0,565,0,1
AS14.01,2014-04-01,17173.906002044678,1.0,0.0,1384.608,6095.526,1030.637,547.826,234.741,92.388,121.19,5040.067,1614.621,0.0,517.636,0.0,6.0,0.118443242712736,0.2,0.0,6.0,1.0000000000000002,5.0,879,1,1
AS14.01,2014-04-02,21353.46300005913,4.0,0.0,3612.896,6918.13,1342.931,247.777,0.0,90.481,541.5409999999999,3428.792,0.0,0.0,341.371,0.0,6.5,0.10191661063822348,0.3333333333333333,0.6666666666666666,6.5,0.3333333333333333,4.0,819,2,1
AS14.01,2014-04-03,21392.459000825882,4.0,0.0,2312.214,14437.13,1293.631,76.234,0.0,0.0,213.90200000000002,3154.241,19.082,0.0,182.77200000000002,0.0,6.4,0.04923847270844108,-1.2,0.0,6.4,0.30000000000000004,5.0,972,3,1
AS14.01,2014-04-04,12378.45600008965,2.0,1.0,1954.526,5481.628,1545.2269999999999,0.0,0.0,0.0,176.801,2086.197,158.24099999999999,0.0,128.692,0.0,6.2,0.12668931120732582,0.2,0.4,6.2,0.19999999999999996,5.0,579,4,1
AS14.01,2014-04-05,3339.7429997920995,0.0,0.0,15155.537,1885.409,76.369,0.0,0.0,0.0,81.133,363.208,187.945,0.0,118.956,0.0,6.8,0.1190023022034455,-0.4,0.6,6.8,0.7,5.0,270,5,1
AS14.01,2014-04-06,7466.012999773025,4.0,0.0,4545.581,3355.743,187.214,0.0,114.406,0.0,119.12,321.46000000000004,0.0,0.0,46.249,0.0,6.5,0.06440779944246815,-0.75,0.5,6.5,0.3333333333333333,4.0,349,6,1
AS14.01,2014-04-07,9846.380999803541,1.0,0.0,926.391,7355.015,447.121,46.128,0.0,17.107,170.348,1475.418,60.247,0.0,205.81100000000004,0.0,6.5,0.050670621174317886,-0.6666666666666666,0.25,6.5,0.3333333333333333,4.0,467,0,1
AS14.01,2014-04-08,15100.529001951218,1.0,0.0,892.668,9476.948,3466.4790000000003,19.131,0.0,0.0,209.514,2655.121,0.0,0.0,36.143,0.0,6.6,0.07532705826134849,-0.4,0.3333333333333333,6.6,0.7999999999999998,5.0,677,1,1
AS14.01,2014-04-09,13557.35200095177,4.0,0.0,1633.0510000000002,6177.076,940.77,0.0,0.0,0.0,346.654,2825.433,0.0,0.0,577.3589999999999,0.0,7.4,0.12038411453232876,-0.8,1.0,7.4,0.30000000000000004,5.0,657,2,1
AS14.01,2014-04-10,9294.309999227527,7.0,0.0,714.393,4881.411,1858.893,0.0,1.059,23.195,107.91900000000001,1172.957,0.0,0.0,377.687,0.0,7.4,0.07896310519489107,-0.4,0.8,7.4,0.7999999999999999,5.0,382,3,1
AS14.01,2014-04-11,10524.270000219349,0.0,0.0,3368.3630000000003,3335.734,1976.138,94.093,0.0,0.0,51.452,596.807,34.234,0.0,214.648,0.0,7.0,0.07998620207306052,-1.2,0.8,7.0,0.5,5.0,469,4,1
AS14.01,2014-04-12,11750.809000968928,0.0,0.0,300.861,6595.083,2186.482,0.0,0.0,0.0,79.033,264.432,5.031,0.0,352.392,0.0,7.25,0.07224906147031816,-0.75,0.75,7.25,0.9166666666666666,4.0,230,5,1
AS14.01,2014-04-13,2005.7509992122655,0.0,0.0,445.565,1096.795,249.392,82.413,0.0,0.0,94.209,34.501999999999995,0.0,0.0,0.0,0.0,8.0,0.014021328954370726,-1.25,1.0,8.0,0.0,4.0,189,6,1
AS14.01,2014-04-14,17984.615999460224,1.0,1.0,959.081,6486.284,6265.556,89.32300000000001,0.0,0.0,145.096,2921.9849999999997,29.104,0.0,986.014,0.0,7.2,0.08388731446988419,-1.2,0.6,7.2,0.7,5.0,565,0,1
AS14.01,2014-04-15,13585.222998380666,8.0,1.0,1594.698,6224.231,944.5219999999999,13.043,0.0,0.0,110.41499999999999,4428.21,8.363,0.0,279.793,0.0,6.4,0.09011215278072526,0.0,0.8,6.4,1.8000000000000003,5.0,657,1,1
AS14.01,2014-04-16,12521.106998920442,0.0,1.0,921.978,5173.552,426.734,0.0,0.0,0.0,40.784,1912.852,0.0,0.0,223.587,0.0,7.2,0.11611033612712222,0.75,0.5,7.2,0.19999999999999996,5.0,551,2,1
AS14.01,2014-04-17,15016.7290005684,2.0,0.0,550.499,11852.71,142.241,0.0,0.0,0.0,53.763,2107.146,0.0,0.0,49.718,0.0,6.6,0.05691785667209682,-0.4,0.6,6.6,0.30000000000000004,5.0,399,3,1
AS14.01,2014-04-18,13490.728999614706,1.0,0.0,1859.088,5341.657,774.354,119.163,0.0,0.0,47.789,1993.922,63.874,0.0,88.68,0.0,6.8,0.09403300669497609,-0.8,0.8,6.8,0.19999999999999996,5.0,381,4,1
AS14.01,2014-04-19,13293.2480006218,1.0,0.0,941.685,2728.26,469.274,95.62899999999999,29.084,0.0,31.482,396.672,128.89,0.0,305.796,0.0,7.8,0.09943191172384026,-0.2,1.0,7.8,0.19999999999999996,5.0,357,5,1
AS14.01,2014-04-20,8343.518000364307,2.0,2.0,895.886,4984.724,727.492,10.606,0.0,0.0,34.202,2237.742,0.0,0.0,121.035,0.0,7.25,0.07481624304311596,-0.25,0.75,7.25,0.24999999999999992,4.0,412,6,1
AS14.01,2014-04-21,3832.127999305725,2.0,0.0,3439.0379999999996,2004.347,74.88,33.266,0.0,0.0,58.049,428.972,68.278,0.0,210.882,0.0,7.6,0.10204105896824717,-0.25,1.0,7.6,0.30000000000000004,5.0,276,0,1
AS14.01,2014-04-22,15490.269999265669,2.0,0.0,2210.878,11360.913,1101.017,38.452999999999996,0.0,0.0,63.16,1422.548,0.0,0.0,423.215,0.0,7.4,0.09192955182229205,0.2,1.0,7.4,0.30000000000000004,5.0,729,1,1
AS14.01,2014-04-23,14535.339999437334,1.0,0.0,1129.656,8928.472,347.427,18.051,0.0,0.0,42.397999999999996,526.598,0.0,0.0,246.944,0.0,7.6,0.04598568913376553,0.2,1.0,7.6,0.30000000000000016,5.0,535,2,1
AS14.01,2014-04-24,22086.478000164043,1.0,0.0,1465.278,9692.133,4464.975,209.937,0.0,0.0,31.933,2688.536,51.184,0.0,716.197,0.0,7.6,0.0509029881940343,-0.4,1.0,7.6,0.30000000000000004,5.0,569,3,1
AS14.01,2014-04-25,13972.087999582292,2.0,1.0,814.294,7279.144,650.832,21.070999999999998,0.0,0.0,68.84700000000001,2227.694,63.315999999999995,0.0,347.974,0.0,7.2,0.10906106363682745,-0.2,0.8,7.2,0.7,5.0,509,4,1
AS14.01,2014-04-26,15481.284999132155,3.0,4.0,863.592,2567.1349999999998,125.556,27.266999999999996,0.0,0.0,46.205,2368.377,470.77299999999997,3.148,315.76300000000003,0.0,7.6,0.21424877162423497,-0.2,1.0,7.6,0.30000000000000004,5.0,309,5,1
AS14.01,2014-04-27,5700.562000036243,0.0,0.0,1289.431,2431.498,1510.221,0.0,0.0,0.0,1056.684,27.47,0.0,0.0,60.338,0.0,7.5,0.030478923798963695,0.0,1.0,7.5,0.3333333333333335,4.0,245,6,1
AS14.01,2014-04-28,10807.829999685284,2.0,0.0,1311.1779999999999,4697.372,1548.438,465.253,0.0,0.0,72.584,2423.933,0.0,0.0,380.193,0.0,7.6,0.0196753225383989,-0.8,0.8,7.6,0.3,5.0,391,0,1
AS14.01,2014-04-29,7871.786998987198,0.0,0.0,5288.713,3834.116,1562.533,0.0,333.305,0.0,40.472,411.485,41.982,0.0,409.447,0.0,7.0,0.10275824852950448,-0.25,1.0,7.0,1.0000000000000002,5.0,409,1,1
AS14.01,2014-04-30,9175.6049990654,1.0,0.0,844.165,3550.618,504.86199999999997,375.022,0.0,0.0,185.783,89.166,272.798,0.0,112.295,0.0,7.8,0.15105145904074724,-0.4,0.75,7.8,0.19999999999999996,5.0,435,2,1
AS14.01,2014-05-01,15514.09399819374,7.0,4.0,1872.454,8191.41,470.866,1321.104,0.0,28.098,44.43,4918.942,0.0,0.0,269.56899999999996,0.0,8.0,0.03706526814765703,-0.4,1.0,8.0,0.0,5.0,740,3,1
AS14.01,2014-05-02,15087.662000656128,0.0,0.0,795.233,7925.082,352.88800000000003,1069.748,0.0,0.0,32.443,771.266,0.0,0.0,11.083,0.0,7.6,0.07734101929677568,-0.2,1.0,7.6,0.2999999999999999,5.0,478,4,1
AS14.01,2014-05-03,8186.036000728605,0.0,1.0,753.2570000000001,4539.776,2761.95,296.313,0.0,0.0,40.569,205.602,143.631,30.102,125.605,0.0,8.0,0.07174088489517204,-0.2,1.0,8.0,0.0,5.0,304,5,1
AS14.01,2014-05-04,5889.194999456405,0.0,0.0,1756.0900000000001,3381.6890000000003,928.406,0.0,0.0,0.0,35.525,494.67699999999996,0.0,0.0,0.0,0.0,8.0,0.13619180837703837,-0.5,1.0,8.0,0.0,4.0,269,6,1
AS14.01,2014-05-05,1788.7339999675771,0.0,0.0,438.347,826.7869999999999,318.514,0.0,0.0,0.0,0.0,25.104,0.0,0.0,264.331,0.0,0.0,0.007842595452107337,0.0,0.0,,,,85,0,1
AS14.02,2014-03-14,1602.0120005607612,6.0,0.0,157.953,1024.449,160.458,0.0,0.0,0.0,222.263,28.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,179,4,2
AS14.02,2014-03-15,5307.102001428604,7.0,0.0,2417.503,2196.995,351.253,0.0,0.0,0.0,0.0,0.0,125.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,471,5,2
AS14.02,2014-03-16,4899.712999582293,4.0,1.0,2479.522,3150.374,88.392,0.0,0.0,0.0,408.106,181.591,0.0,0.0,0.0,0.0,6.333333333333333,0.0,0.0,0.0,6.333333333333333,0.33333333333333326,3.0,332,6,2
AS14.02,2014-03-17,10159.065001249308,4.0,0.0,1227.655,4518.116,2511.178,0.0,0.0,0.0,103.699,102.33099999999999,0.0,0.0,0.0,0.0,6.75,0.1680684149503257,0.5,0.5,6.75,1.5833333333333337,4.0,401,0,2
AS14.02,2014-03-18,4510.6210017204285,15.0,1.0,2600.623,3930.706,88.943,0.0,0.0,0.0,88.72200000000001,212.364,0.0,0.0,0.0,0.0,8.2,0.21948438425543756,0.6,0.8,8.2,0.19999999999999996,5.0,494,1,2
AS14.02,2014-03-19,8181.288000106815,5.0,1.0,1550.904,2596.7599999999998,195.518,0.0,0.0,0.0,105.536,47.815,567.165,0.0,0.0,0.0,6.8,0.31563175685064315,0.4,0.4,6.8,1.7,5.0,465,2,2
AS14.02,2014-03-20,4359.260001182557,10.0,1.0,1775.758,2153.768,148.18,0.0,0.0,0.0,86.857,131.598,0.0,0.0,0.0,0.0,7.25,0.23902496021034736,-0.5,0.75,7.25,0.25,4.0,409,3,2
AS14.02,2014-03-21,11154.704999208445,10.0,1.0,2228.814,2858.446,459.604,0.0,0.0,0.0,37.944,388.021,442.296,0.0,0.0,0.0,7.5,0.28962792490010747,-0.75,0.75,7.5,1.0000000000000002,4.0,483,4,2
AS14.02,2014-03-22,7589.076002836231,25.0,1.0,1928.824,1852.256,662.8779999999999,0.0,0.0,0.0,43.204,408.66700000000003,780.617,0.0,0.0,0.0,6.5,0.44604368683290135,-1.0,-0.5,6.5,1.0000000000000002,4.0,671,5,2
AS14.02,2014-03-23,4527.625000476838,8.0,1.0,893.192,1839.8990000000001,388.081,0.0,0.0,0.0,61.865,171.9,1263.189,0.0,0.0,0.0,6.25,0.26969715703353236,-1.0,0.0,6.25,0.24999999999999992,4.0,426,6,2
AS14.02,2014-03-24,2764.8679993152614,5.0,0.0,1071.1870000000001,3012.181,532.013,0.0,0.0,0.0,81.80799999999999,232.211,0.0,0.0,0.0,0.0,6.4,0.15612466250149995,0.2,-0.2,6.4,1.2999999999999998,5.0,339,0,2
AS14.02,2014-03-25,4637.253999948503,7.0,0.0,2803.045,2788.716,459.58899999999994,0.0,0.0,0.0,50.375,148.447,0.0,0.0,0.0,0.0,7.75,0.23051365485645373,-1.25,0.75,7.75,0.25,4.0,462,1,2
AS14.02,2014-03-26,6069.630000829696,5.0,0.0,1733.546,2533.8489999999997,767.156,0.0,0.0,0.0,41.95,1562.023,0.0,0.0,0.0,0.0,7.2,0.29395346240584214,-1.2,0.4,7.2,1.7,5.0,462,2,2
AS14.02,2014-03-27,5745.126998901368,3.0,0.0,2262.744,2995.39,490.78099999999995,0.0,0.0,0.0,731.8530000000001,81.366,0.0,0.0,67.163,0.0,7.25,0.22884900892215096,0.0,0.5,7.25,0.9166666666666666,4.0,460,3,2
AS14.02,2014-03-28,3968.6709990501404,8.0,2.0,1050.721,1244.471,707.64,0.0,0.0,0.0,125.66900000000001,2717.215,0.0,0.0,0.0,0.0,6.8,0.26159832807813954,-0.6,0.6,6.8,1.7000000000000002,5.0,440,4,2
AS14.02,2014-03-29,4400.512997865678,4.0,0.0,17412.951,2141.489,1063.268,0.0,0.0,0.0,52.841,523.854,501.644,0.0,0.0,0.0,7.25,0.432469355060395,-0.75,0.25,7.25,1.5833333333333337,4.0,424,5,2
AS14.02,2014-03-30,3934.5689988136282,10.0,1.0,769.328,1110.856,1278.527,0.0,0.0,0.0,113.21000000000001,322.901,0.0,0.0,0.0,0.0,7.0,0.24188730879396786,-1.0,0.75,7.0,2.0000000000000004,4.0,331,6,2
AS14.02,2014-03-31,4770.438999176025,14.0,2.0,1181.554,2480.495,354.965,0.0,0.0,0.0,81.741,2038.6310000000003,0.0,0.0,0.0,0.0,7.2,0.15637292366427655,-0.8,0.4,7.2,1.2,5.0,466,0,2
AS14.02,2014-04-01,3297.407997131348,2.0,1.0,2788.844,1322.61,76.976,0.0,0.0,0.0,186.413,190.803,345.20000000000005,0.0,0.0,0.0,7.4,0.26196053218905446,-0.2,0.8,7.4,0.30000000000000004,5.0,422,1,2
AS14.02,2014-04-02,6882.892001628875,2.0,0.0,1963.115,2941.569,1021.454,0.0,0.0,0.0,128.744,317.901,0.0,0.0,0.0,0.0,6.4,0.3191205617996335,-0.6,-0.2,6.4,2.3000000000000003,5.0,496,2,2
AS14.02,2014-04-03,6814.070000886916,2.0,0.0,1268.32,3595.421,548.78,0.0,0.0,0.0,56.132,122.42099999999999,318.294,0.0,0.0,0.0,5.75,0.32250583990998866,-0.25,0.0,5.75,1.583333333333333,4.0,543,3,2
AS14.02,2014-04-04,3652.1210007667546,5.0,0.0,1118.733,2809.436,809.728,0.0,0.0,0.0,148.852,141.32,0.0,0.0,0.0,0.0,6.4,0.22727035660896047,-1.2,0.2,6.4,3.3000000000000003,5.0,403,4,2
AS14.02,2014-04-05,13064.905001640316,9.0,1.0,1953.328,2309.659,792.962,0.0,0.0,0.0,100.89699999999999,258.611,388.071,0.0,0.0,0.0,7.4,0.32191972248052525,0.0,0.6,7.4,1.7999999999999998,5.0,559,5,2
AS14.02,2014-04-06,3649.9679985046396,6.0,0.0,575.575,1223.359,618.98,0.0,0.0,0.0,30.011000000000003,391.54200000000003,0.0,0.0,0.0,0.0,4.5,0.21520952016085249,-1.0,-1.25,4.5,1.0,4.0,262,6,2
AS14.02,2014-04-07,6365.919998407364,2.0,0.0,1482.337,3761.1789999999996,737.9159999999999,0.0,0.0,0.0,106.148,2007.969,0.0,0.0,0.0,0.0,6.8,0.13652373439609958,0.0,0.6,6.8,0.20000000000000007,5.0,420,0,2
AS14.02,2014-04-08,4076.6759996414207,10.0,1.0,1181.388,2264.745,193.47999999999996,0.0,0.0,0.0,134.434,636.253,0.0,0.0,0.0,0.0,6.25,0.26195103762156396,-0.25,0.5,6.25,2.25,4.0,472,1,2
AS14.02,2014-04-09,5756.938000679014,12.0,1.0,1424.164,2255.545,626.805,0.0,0.0,0.0,61.397,293.98600000000005,0.0,0.0,0.0,0.0,7.25,0.24720984804489024,-0.5,0.25,7.25,0.25000000000000006,4.0,477,2,2
AS14.02,2014-04-10,7841.47599887848,1.0,1.0,1302.17,2724.672,692.809,0.0,0.0,0.0,141.214,566.807,525.1129999999999,0.0,2.045,0.0,7.25,0.2607506038432931,0.25,0.75,7.25,0.9166666666666666,4.0,487,3,2
AS14.02,2014-04-11,5807.634001016617,7.0,1.0,1542.267,2342.142,700.1179999999999,0.0,0.0,0.0,136.128,319.478,630.929,0.0,0.0,0.0,6.5,0.4244814273084369,-0.5,0.5,6.5,0.3333333333333335,4.0,572,4,2
AS14.02,2014-04-12,3656.7310009002686,6.0,1.0,1824.768,1515.4569999999999,0.0,0.0,0.0,0.0,11.016,157.19199999999998,362.185,0.0,6.986,0.0,6.0,0.3783017333120427,-2.0,-1.0,6.0,,1.0,386,5,2
AS14.02,2014-04-13,2173.092997789384,1.0,0.0,509.192,855.219,370.122,0.0,0.0,0.0,79.112,122.965,159.313,0.0,0.0,0.0,7.2,0.28982011828279997,-0.6,0.4,7.2,0.7,5.0,282,6,2
AS14.02,2014-04-14,2771.3380010128026,8.0,7.0,807.751,1821.752,94.25999999999999,0.0,0.0,0.0,21.182,56.817,0.0,0.0,84.488,0.0,8.0,0.18707405017212794,0.75,1.0,8.0,1.9999999999999998,4.0,317,0,2
AS14.02,2014-04-15,701.2870004177095,14.0,1.0,97.458,445.91700000000003,19.631,0.0,0.0,0.0,0.0,25.386000000000003,0.0,0.0,0.0,0.0,7.25,0.1736288831786874,-0.5,0.5,7.25,0.9166666666666664,4.0,85,1,2
AS14.02,2014-04-16,109.28399968147278,16.0,1.0,125.12700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.3532763532763534,-0.3333333333333333,0.3333333333333333,6.666666666666667,2.333333333333334,3.0,41,2,2
AS14.02,2014-04-17,41.23499965667722,10.0,7.0,2.007,37.601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.4700854700854705,0.25,0.0,6.5,1.6666666666666667,4.0,38,3,2
AS14.02,2014-04-19,187.3220000267031,1.0,0.0,10.09,72.34100000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,0.5,-0.6666666666666666,-0.3333333333333333,5.666666666666667,0.3333333333333335,3.0,17,5,2
AS14.02,2014-04-22,13.08000016212468,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.887,0.0,0.0,0.0,0.0,5.666666666666667,0.075,-1.3333333333333333,-0.3333333333333333,5.666666666666667,1.333333333333333,3.0,33,1,2
AS14.03,2014-03-21,1662.1460008621218,5.0,2.0,167.062,1724.739,943.898,0.0,0.0,10.046,540.825,0.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,2.0,9.0,0.0,2.0,148,4,3
AS14.03,2014-03-22,2632.121001482011,8.0,1.0,479.292,456.116,3906.66,0.0,0.0,0.0,89.216,0.0,168.545,0.0,4.35,0.0,7.8,0.1913883086450861,0.8,1.0,7.8,0.7000000000000001,5.0,235,5,3
AS14.03,2014-03-23,5037.015000343323,1.0,1.0,490.733,1500.478,1728.735,36.364,0.0,161.998,251.529,0.0,275.40500000000003,0.0,0.0,44.854,8.2,0.1002466983942117,-0.2,1.2,8.2,1.7,5.0,322,6,3
AS14.03,2014-03-24,6235.730999469758,3.0,0.0,91.279,2280.007,3893.889,103.686,0.0,125.325,851.0169999999999,0.0,0.0,11.064,5.136,0.0,7.8,0.090740222421567,-0.6,1.4,7.8,0.7000000000000001,5.0,348,0,3
AS14.03,2014-03-25,3774.375000000001,6.0,1.0,1044.4950000000001,1302.382,1327.669,447.543,0.0,140.14499999999998,133.63,0.0,0.0,47.324,28.361,0.0,7.8,0.13276828552349199,-0.4,1.2,7.8,0.7000000000000002,5.0,345,1,3
AS14.03,2014-03-26,3969.7359986305228,1.0,0.0,117.24000000000001,1291.56,2338.783,87.141,0.0,18.897,72.68,0.0,12.84,7.649,0.0,0.0,8.25,0.0911532011403041,0.5,1.0,8.25,0.25,4.0,334,2,3
AS14.03,2014-03-27,3264.8390018939963,3.0,1.0,585.751,928.268,1639.262,0.0,0.0,13.437,60.032,0.0,0.0,0.0,17.490000000000002,0.0,7.75,0.10319575369873081,0.25,0.5,7.75,1.5833333333333337,4.0,270,3,3
AS14.03,2014-03-28,3235.7509987354283,3.0,0.0,277.526,938.24,3338.066,0.0,0.0,46.206,244.99,0.0,0.0,63.787000000000006,7.045,0.0,8.0,0.10467928797906652,-0.5,1.5,8.0,0.6666666666666666,4.0,299,4,3
AS14.03,2014-03-29,2256.4680008888254,0.0,1.0,19.31,152.076,2523.948,49.371,0.0,0.0,104.425,0.0,0.0,0.0,0.0,0.0,8.6,0.16337733775865063,-0.2,1.6,8.6,0.30000000000000004,5.0,168,5,3
AS14.03,2014-03-30,3555.8089988231663,1.0,0.0,12.869,1216.89,2029.637,0.0,0.0,26.284,186.054,0.0,0.0,35.267,0.0,31.955000000000002,8.4,0.16465071526667882,-0.2,1.0,8.4,0.7999999999999999,5.0,267,6,3
AS14.03,2014-03-31,9383.271999120714,3.0,1.0,2043.5349999999999,4405.483,1679.34,77.491,0.0,0.0,97.223,0.0,0.0,0.0,5.16,0.0,7.4,0.08363358459550868,0.4,0.6,7.4,0.2999999999999999,5.0,349,0,3
AS14.03,2014-04-01,3196.9959995746613,2.0,0.0,543.663,706.484,1618.922,58.641,0.0,62.489999999999995,201.34,0.0,0.0,0.0,0.0,0.0,7.6,0.097414340146311,0.4,0.4,7.6,0.2999999999999999,5.0,242,1,3
AS14.03,2014-04-02,3348.3550004959116,2.0,0.0,849.823,814.413,1973.7259999999999,65.43900000000001,0.0,17.778,98.842,0.0,54.144999999999996,0.0,0.0,0.0,7.4,0.0786881382869165,0.2,0.6,7.4,0.30000000000000004,5.0,269,2,3
AS14.03,2014-04-03,2296.5120000839233,1.0,0.0,19584.206,677.758,2083.771,71.477,0.0,0.0,89.413,0.0,0.0,20.192,29.197000000000003,0.0,7.8,0.08363645439998374,0.0,1.0,7.8,0.19999999999999996,5.0,218,3,3
AS14.03,2014-04-04,3223.6069989204398,0.0,3.0,616.145,802.583,1364.176,47.284,0.0,6.163,901.73,0.0,0.0,315.509,0.0,0.0,7.8,0.0871065604162596,0.2,1.4,7.8,0.19999999999999996,5.0,230,4,3
AS14.03,2014-04-05,3838.799998521801,6.0,0.0,262.071,1105.097,2282.8269999999998,0.0,0.0,106.48599999999999,60.862,0.0,19.695999999999998,0.0,0.0,0.0,7.6,0.11442793762963631,1.2,1.0,7.6,0.30000000000000004,5.0,256,5,3
AS14.03,2014-04-06,6018.709998607642,0.0,0.0,10.112,728.1179999999999,4224.118,0.0,0.0,0.0,1024.593,0.0,0.0,23.094,0.0,0.0,6.8,0.07677201548523706,0.2,0.8,6.8,0.7,5.0,189,6,3
AS14.03,2014-04-07,5019.101999759673,2.0,0.0,596.011,1781.84,2503.146,87.438,0.0,124.68100000000001,71.304,0.0,0.0,82.764,0.0,0.0,7.4,0.14406393678902962,0.2,1.0,7.4,0.2999999999999999,5.0,272,0,3
